t,demand_[MWh]
1886,736.9
1887,552.7
1888,736.9
1889,1473.82
1890,2210.46
1891,3316.18
1892,3684.82
1893,3684.82
1894,3684.82
1895,2947.66
1896,2947.66
1897,2946.6
1898,2946.6
1899,2946.6
1900,2946.6
1901,2578.32
1902,2209.92
1903,1105.06
1904,736.64
1905,368.32
1906,736.64
1907,1105.06
1908,1289.16
1909,1105.06
1910,736.64
1911,552.48
1912,736.64
1913,1473.38
1914,2209.92
1915,3314.98
1916,3683.24
1917,3683.24
1918,3683.24
1919,2946.6
1920,2946.6
1921,2864.82
1922,2864.82
1923,2864.82
1924,2864.82
1925,2507.08
1926,2148.7
1927,1074.44
1928,716.26
1929,358.14
1930,716.26
1931,1074.44
1932,1253.56
1933,1074.44
1934,716.26
1935,537.22
1936,716.26
1937,1432.58
1938,2148.7
1939,3223.56
